[X]  Right here waiting for you - Richard Marx
[X]  Lady in red - Chris De Burgh
[X]  Wind of change - Scorpions
[X]  Another day in the paradise - Phil Collins
[X]  Total eclipse of the heart - Bonnie Tyler
[  ]  Tears In Heaven - Eric Clapton
[  ]  Angie - Rolling Stones
[  ]  You're The Inspiration - Chicago
[  ]  I Don't Wanna Miss A Thing - Aerosmith
[  ]  November Rain - Guns N' Roses
[  ]  Please Forgive Me - Bryan Adams
[  ]  Always - Bon Jovi
[  ]  One - U2
[  ]  Love Song - Telsa
[  ]  Sweet Child O' Mine - Guns N' Roses
[  ]  Bed Of Roses - Bon Jovi
[  ]  Don't Know What You Got Til It's Gone - Cinderella
[  ]  Angel - Aerosmith
[  ]  Wanted Dead Or Alive - Bon Jovi     
